reviewer
José C. Riquelme
Roberto Ruiz
Dian Gong
Gérard G. Medioni
Nevena Lazic
Parham Aarabi
Don Sheehy
Sivaraman Balakrishnan
Animashree Anandkumar
Elham Salehi
Jayashree Nyayachavadi
Robin Gras
Tian-Hsiang Huang
Bernhard Steffen
Falk Howar
Malte Isberner
Aaron Wilson
Daniel A. Spielman
Huan Wang
John Wright 0001
Hao Shen
Stefanie Jegelka
Rich Caruana
Arnaud Bergeron
François Savard
Frédéric Bastien
Guillaume Sicard
Jeremy Eustache
Moustapha Cissé
Myriam Côté
Nicolas Boulanger-Lewandowski
Razvan Pascanu
Salah Rifai
Sylvain Pannetier Lebeuf
Thomas M. Breuel
Xavier Muller
Youssouf Chherawala
Yin-Wen Chang
Mikhail Belkin
Qichao Que
Yusu Wang
Justin Domke
Denver Dash
Mark Voortman
Tzu-Kuo Huang
Bastian Wemmenhove
Tommaso Rizzo
Bin Li 0027
Peilin Zhao
Carsten Ullrich
Changyong Niu
Heng Luo
Ruimin Shen
Ata Kabán
Robert J. Durrant
Eiji Takimoto
Masayuki Takeda
Shota Yasutake
Naresh Manwani
P. S. Sastry
David Kempe 0001
Mohammad R. Salavatipour
Wiley Greiner
Azadeh Khaleghi
Daniil Ryabko
Gui-Bo Ye
Xiaohui Xie
Yifei Chen
Ian M. Molloy
Nan Ding 0002
Ninghui Li
Yuan (Alan) Qi
Ankur P. Parikh
Chunxia Wang
Juanying Xie
Weixin Xie
Xinbo Gao 0001
Irina Borisova
Nikolay G. Zagoruiko
Olga Kutnenko
Vladimir Dyubanov
Grace Wahba
Héctor Corrada Bravo
Kevin H. Eng
Sündüz Keles
Mingxuan Sun
Arne Mauser
Christian Buck
Christian Oberdörfer
Jens Forster
Johannes Laudenberg
Michael Kramp
Niklas Hoppe
Pascal Steingrube
Patrick Doetsch
Pavlo Golik
Hiroshi Sawada
Katsuhiko Ishiguro
Naonori Ueda
Scott Sanner
Shengbo Guo
Xiao Li 0006
David R. Kaeli
Fatemeh Azmandian
Javed A. Aslam
Nicolas Vayatis
Stéphan Clémençon
Sándor Szedmák
Yizhao Ni
Pierre Baldi
Alexander Grubb
Jialei Wang
Gerald Tesauro
Christian Widmer
Gunnar Rätsch
Bhushan Mandhani
Dmitry Pechyony
Roni Khardon
Rosie Jones
Yuyang Wang
Eric Riedl
Hang Zhang
Jacob Spoelstra
Valery A. Petrushin
Elad Mezuman
Indraneel Mukherjee
Debasis Sengupta
Radhendushka Srivastava
Alexander L. Strehl
James Petterson
Qinfeng Shi
Vishy Vishwanathan
Edwin V. Bonilla
Brent Bryan
Alex Kulesza
Justin Ma
Mark Dredze
Jan Lemeire
Kris Steenhaut
Charles Blundell
Anind K. Dey
Brian D. Ziebart
Kevin M. Peterson
Martial Hebert
Siddhartha S. Srinivasa
Minyoung Kim
Jesse Read
Christopher Meek
Jarkko Venna
Max Dama
Zhiting Xu 0001
Ananth Mohan
Zheng Chen
Alessio Moneta
Nadine Chlass
Shaunak Chatterjee
Stuart J. Russell
Alexander Ropson
Veselin Stoyanov
Carter T. Butts
Hui Zou
Maxim Raginsky
Svetlana Lazebnik
George Zouridakis
Ning Situ
Xiaojing Yuan
Alexander Borisov
Eugene Tuv
George C. Runger
Dan Cornford
Franziska Meier
Yuki Yamagishi
Haakon Austad
Jaakko Riihimäki
Yang Zhou
John Aldo Lee
Michel Verleysen
Cesar Koirala
Herbert G. Tanner
Jane Chandlee
Jie Fu
Konstantinos Karydis
Chuanren Liu
Hui Xiong 0001
Yong Ge
Sofie Van Landeghem
Wojciech Wieczorek
Carlos M. Carvalho
James G. Scott
Nicholas G. Polson
Hong Qiao
Zhiyong Liu 0001
Christos Dimitrakakis
Gowtham Bellala
Suresh K. Bhavnani
Christopher Leckie
James Bailey 0001
Kotagiri Ramamohanarao
Sergey Demyanov
Cléo Zanella Billa
Fábio N. Kepler
Sérgio L. S. Mergen
Kazuyuki Aihara
Sainbayar Sukhbaatar
Takaki Makino
Takashi Chikayama
David Warde-Farley
Erick Lavoie
Grégoire Mesnil
Ian J. Goodfellow
Yann N. Dauphin
André Filipe Torres Martins
Mário A. T. Figueiredo
Noah A. Smith
Pedro M. Q. Aguiar
Yang Xu 0023
Adam R. Klivans
Parikshit Gopalan
Raghu Meka
Alexander Ilin
Jaakko Luttinen
Bart De Moor
Johan A. K. Suykens
Kristiaan Pelckmans
James L. Crowley
Mathieu Guillame-Bert
Navin Goyal
Shipra Agrawal 0001
Andreas Bender
Hossein Rahmani
Jean-Christophe Janodet
Benjamin Letham
David Madigan
Eugene Kogan
Chen-Wei Hung
Christoph Lippert
Oliver Stegle
Joseph Salmon
Catherine A. McCarty
Chunming Zhang
David Page
Elizabeth S. Burnside
Jie Liu 0006
Peggy L. Peissig
Ravi Sastry Ganti Mahapatruni
Nikolai Slavov
Carol K. Walter
Jonice Cynthia Weber
Thomas R. Gross
Zen Kishimoto
Jeanne Ferrante
Jack C. Wileden
Peter C. Bates
Wayne C. Gramlich
Mark Scott Johnson
Charlotte Payne
Robin Schaufler
Ron Tischler
Karl J. Ottenstein
Linda M. Ottenstein
Polle T. Zellweger
E. Matteoli
Fabrizio Baiardi
Gigliola Vaglini
Nicoletta De Francesco
S. Stefanini
Gary W. Kenney
John D. Johnson
Monika Müllerburg
Hans Petter Dahle
Knut Barra
Insup Lee
Robert P. Cook
Bert Beander
Barbara H. Liskov
Stephen N. Zilles
C. Cordell Green
Elliott Solloway
Mark A. Linton
Pamela Zave
R. J. Cunningham
Robert Balzer
Robert L. Sedlmeyer
William R. Swartout
Debra J. Richardson
Lori A. Clarke
Janice Cynthia Weber
Michael L. Powell
Thomas A. Cargill
Martin Mikelsons
Charles R. Hill
James R. Cardell
Michael S. Kenniston
Russ Atkinson
Bernd Bruegge
Peter G. Hibbard
Nick Tindall
Rich Seidner
Harald Wertz
Henry Hoeksma
W. Morven Gentleman
Peter Bates
Claude Jard
Gregor von Bochmann
Peter Fritzson
Dick Hamlet
Paul E. Johnson
William B. Thompson
Adolfo Ballester-Bolinches
Enric Cosme-Llópez
Jan Rutten
José Carlos Bacelar Almeida
Marcus V. M. Ramos
Nelma Moreira
Ruy J. G. B. de Queiroz
Hugo Torres Vieira
Luís Caires
David Delahaye
Micaela Mayero
Samson Abramsky
Ana Teresa C. Martins
Francicleber Martins Ferreira
Márcia Farias
Corina Cîrstea
W. Marco Schorlemmer
Jiri Velebil
Jirí Adámek
Stefan Milius
Lars Birkedal
J. Robin B. Cockett
Joaquín Díaz-Boïls
Jonathan Gallagher
Pavel Hrubes
Alexander V. Lyaletski
Marina Morokovets
Andrej Bauer
Michael W. Mislove
Dexter Kozen
Prakash Panangaden
Radu Mardare
Igor Walukiewicz
Ana Paula dos Santos Dantas
Cid Carvalho de Souza
Zanoni Dias
Héctor Cancela
José Aguilar 0001
Julien Truffaut
Mehrnoosh Sadrzadeh
Roy Dyckhoff
Ingo Battenfeld
Alexander Kurz 0001
Clemens Kupke
Dirk Pattinson
John Power
Martin Hyland
Bruno Xavier
Carlos Olarte
Giselle Reis
Vivek Nigam
Paul Blain Levy
Weng Kin Ho
Martín Hötzel Escardó
Francisco Javier López-Fraguas
Mario Rodríguez-Artalejo
Rafael del Vado Vírseda
Horst Reichel
Rodrigo M. Santos
Yezid Donoso
Jesse Hughes
Dilia E. Rodríguez
Reinhold Heckmann
Anindya Banerjee 0001
Isabella Mastroeni
Roberto Giacobazzi
Paul Taylor 0002
Andrea Y. Weiße
Andreea Beica
Guillaume Terradot
Vincent Danos
José Meseguer
Peter Csaba Ölveczky
Arend Rensink
Catuscia Palamidessi
Gabriel Coutinho
Sebastián Urrutia
Vinícius Fernandes dos Santos
Yoshiharu Kohayakawa
Danel Ahman
Sam Staton
Anderson G. da Silva
Diana Sasaki
Simone Dantas
Andreas Abel 0001
Klaus Aehlig
Peter Dybjer
Yevgeniy Makarov
Andrés M. Bordese
Damián Barsotti
Tomás Hayes
Luoshan Xu
Xuxin Mao
Haoran Zhao
Hui Kou
Marc Lasson
Jan Komenda
Peter Habermehl
Tomás Vojnar
Alain Finkel
Bernard Willems
Pierre Wolper
Grigore Rosu
Bram Geron
Axel Legay
Uli Fahrenberg
Eelco Visser
Zine-El-Abidine Benaissa
Agata Ciabattoni
Björn Lellmann
Elaine Pimentel
Robert Goldblatt
Jirí Srba
Scott A. Smolka
Adelardo A. D. Medeiros
André M. Santana
Kelson Rômulo Teixeira Aires
Rodrigo M. S. Veras
Andrés Viso
Eduardo Bonelli
Mauricio Ayala-Rincón
Philippa Gardner
Julian C. Bradfield
Sibylle B. Fröschle
Makoto Takeyama
Peter W. O'Hearn
Robert D. Tennent
Steven Eker
Pierre Boudes
Ernie Manes
Philip S. Mulry
Carolyn L. Talcott
Grit Denker
Francisco Durán 0001
Matteo Sammartino
Adam Rogalewicz
Ahmed Bouajjani
Florence Clerc
Linan Chen
André Joyal
Hongde Hu
Pedro da Rocha Pinto
Thomas Dinsdale-Young
Chrysanthi Tziortzioti
Dimitrios Amaxilatis
Ioannis Chatzigiannakis
Irene Mavrommati
J. S. Lemay
Marc Bagnol
Richard Blute
Frank Pfenning
J. Polokow
Federico Orsanigo
Fredrik Nordvall Forsberg
Neil Ghani
Patricia Johann
Tim Revell
Jacir Luiz Bordim
Thiago F. Neves
Ana Cristina Rocha Oliveira
Maribel Fernández
Murdoch James Gabbay
Matthew Hennessy
Cecília M. F. Rubira
Jael Zela Ruiz
Jeremy Gibbons
Maciej Piróg
A. John Power
Olha Shkaravska
Ales Bizjak
Rasmus Ejlers Møgelberg
Abbas Edalat
Peter John Potts
Shu-Zhen Luo
Xiaoquan Xu
Neil D. Jones
Naohiko Hoshino
Gilles Geeraerts
Jean-François Raskin
Laurent Van Begin
Leonardo B. Vana
Paulo A. S. Veloso
Sheila R. M. Veloso
Yayan Yuan
Daniel Hirschkoff
Renaud Rioboo
Sylvain Boulmé
Thérèse Hardin
Valérie Ménissier-Morain
Fabio Gadducci
Georgia Carabetta
Pierpaolo Degano
Carla Negri Lintzmayer
Guilherme Oliveira Mota
Maycon Sambinelli
Peter Aczel
Alejandro Ríos
Carlos Lombardi
Roel de Vrijer
Charles Meyssonnier
Roberto M. Amadio
Amílcar Sernadas
Paulo Mateus
Rohit Chadha
Diletta Cacciagrano
Flavio Corradini
Alberto Policriti
Alicia Villanueva
Moreno Falaschi
Gethin Norman
Marta Z. Kwiatkowska
Uri Zarfaty
Hao-Chi Wong
Niccolò Veltri
Noam Zeilberger
Tarmo Uustalu
Annabelle McIver
Manuel Clavel
Achim Jung
Guo-Qiang Zhang 0001
Mao-kang Luo
Cristina G. Fernandes
Fábio Botler
Juan Gutiérrez
Massimo Merro
Jimmie D. Lawson
Klaus Keimel
Christophe Ringeissen
Hendrik Tews
Alejandro Díaz-Caro
Octavio Malherbe
Armin Biere
Viktor Schuppan
Slawomir Lasota 0001
Venanzio Capretta
Emilie Balland
Karl Trygve Kalleberg
Lennart C. L. Kats
Manuel Roldán
Mark van den Brand
Pierre-Etienne Moreau
Ruslan Schevchenko
Jim Laird
Richard Mayr
Jean Krivine
Pawel Sobocinski 0001
Ana Paula Lüdtke Ferreira
Leila Ribeiro 0001
Cinzia Di Giusto
Samuel Mimram
Alberto Pardo
Joe Mashburn
James Worrell 0001
Yannick Delbecque
Eugenio Moggi
Ernst L. Leiss
Hubie Chen
Riccardo Pucella
Abeer S. Al-Humaimeedy
Benjamín R. C. Bedregal
Graçaliz Pereira Dimuro
Renata Hax Sander Reiser
Andreas Franke 0001
Michael Kohlhase
Luis Carlos de Sousa Menezes
Peter Selinger
Rolf Hennicker
Kim Guldstrand Larsen
Ulrich Fahrenberg
Joakim von Wright
Ralph-Johan Back
Luigi Santocanale
Ruth Hardy
Fabio Zanasi
Pablo De Caria
Qingyu He
Ivo Koch
Javier Marenco
Manuela Blaum
Marcelo Mydlarz
Ricardo C. Corrêa
Jirí Rosický
Bart Jacobs 0001
Marco Pistore
Haiyu Pan
Yanfang Ma
Agustina Buccella
Alejandra Cechich
Maximiliano Arias
K. V. S. Prasad
Célia Biane
Franck Delaplace
Tarek Melliti
Eurinardo Rodrigues Costa
Ronan Soares
Rudini Menezes Sampaio
Victor Lage Pessoa
Rick Statman
Mark Hills 0001
Traian Serbanuta
Bruno Lopes 0001
Edward Hermann Haeusler
Mario R. F. Benevides
Eugene W. Stark
Karen L. Bernstein
Daniele Gorla
Thomas T. Hildebrandt
Bartek Klin
Alexander Moshe Rabinovich
Eduardo C. Xavier
Félix Carvalho Rodrigues
Guido Schäfer
Monica Nesi
Alan Jeffrey
Ralf Schweimeier
Claude Kirchner
Marian Vittek
Peter Borovanský
Ryan Kavanagh
Stephen Brookes
Roberto Bruni
Bengt Jonsson 0001
Martin Leucker
Olga Grinchtein
David N. Turner
John Maraist
Martin Odersky
Philip Wadler
Carlos Hoppen
Hanno Lefmann
Alexandra Silva 0001
Jan J. M. M. Rutten
Milad Niqui
Cliff B. Jones
Antonio F. Skarmeta
Aris S. Lalos
Fariba Sadri
Georgios Mylonas
Helen C. Leligou
Julia Himmelsbach
Katja Neureiter
Markus Garschall
Sten Hanke
Luis Menasché Schechter
Gerard Allwein
Ira S. Moskowitz
Keye Martin
Isabelle Gnaedig
Giorgio Delzanno
Tetsuya Sato 0001
Géraud Sénizergues
L. Bernátsky
Zoltán Ésik
Glynn Winskel
Hugo Paquet
Maria Rita Di Berardini
Walter Vogler
Olga Kouchnarenko
Philippe Schnoebelen
Isaque Macalam Saab Lima
Mario Roberto Folhadela Benevides
Ana Karolinna Maia
Ignasi Sau
Raul Lopes 0001
Victor A. Campos
Qingguo Li
Zhiwei Zou
Antonín Kucera 0001
Domenico Ruoppolo
Giulio Manzonetto
Hengyang Wu
Yixiang Chen
Gian Luigi Ferrari
François Dross
Frédéric Havet
H. Peter Gumm
Tobias Schröder
Hayo Thielecke
Dennis M. Volpano
Geoffrey Smith 0001
Peter G. Hancock
Narciso Martí-Oliet
Marina Lenisa
Xuechong Guan
Yongming Li 0001
A. W. Roscoe 0001
David Mestel
Christian Straßer
Ofer Arieli
Lionel Khalil
Ana Sokolova
Marco Bozzano
Maurizio Martelli
Martin R. Neuhäußer
Thomas Noll 0001
Aaron Stump
Bill Kinnersley
James C. Brodman
Jonathan Hseu
Ryan Besand
Altaf Hussain
Michael Huth
Hans-E. Porst
Cécilia Englander
Gilles Dowek
Dan Teodosiu 0001
Graciela L. Nasini
Luis Miguel Torres
Paola B. Tolomei
Silvia M. Bianchi
Luiz Alberto do Carmo Viana
Manoel B. Campêlo
Martin Kot
Zdenek Sawa
Jonathan K. Millen
Ivana Cerná
Mojmír Kretínský
Filippo Bonchi
Giacoma Valentina Monreale
James Laird
Alexandru Baltag
Alex Simpson
Martin Rößiger
Ariel Lopez
Jaime A. Pavlich-Mariscal
María Consuelo Franky
Hiroshi Watanabe 0002
André Hirschowitz
Michel Hirschowitz
Tom Hirschowitz
André Murbach Maidl
Cláudio Carvilhe
Martin A. Musicante
David A. Schmidt
Arjeh M. Cohen
Olga Caprotti
S. Lassen
Tanner Crowder
Ralf Sasse
Santiago Escobar 0001
Fausto Giunchiglia
Antonio Brogi
Jean-Marie Jacquet
Andres Tello
Fernando Baculima
Freddy Sumba
Mauricio Espinoza
Victor Saquicela
Xavier Sumba
Carolina Mejía
J. Andrés Montoya
Anna Ingólfsdóttir
Hans Hüttel
Josva Kleist
Luca Aceto
Luís Monteiro
Lei Fan
Li-Gang Wu
Heike Wehrheim
Jun Zhang 0009
Yinbin Lei
Marco Paviotti
Christian Sternagel
René Thiemann
Dragan Masulovic
Andrew J. Millar
Argyris Zardilis
Gordon D. Plotkin
Ricardo Honorato-Zimmer
Feryal Fulya Horozal
Florian Rabe 0001
André Luiz Galdino
Jean Goubault-Larrecq
Angèle M. Foley
Chính T. Hoàng
Yingjun Dai
Allen Ibiapina
Ana Silva
A. Chugayenko
Alexander A. Letichevsky
David R. Gilbert
Julia V. Kapitonova
Victor Khomenko
Vladislav A. Volkov
Mario Cáccamo
Jérôme Leroux
Peter Buchlovsky
Paul Syvreson
Lasse R. Nielsen
Alcione de Paiva Oliveira
José Elias Claudio Arroyo
Rafael dos Santos Ottoni
Thierry Cachat
Franck van Breugel
Stephen Watson
Andreas Kanavos
Ioannis E. Livieris
Panagiotis E. Pintelas
Martin Pollet
Mateja Jamnik
Hana Chockler
Paul C. Attie
Favio E. Miranda-Perea
Michele Bugliesi
Riccardo Focardi
Michael Beeson
Johannes Borgström
Andrés Barrera
Hugo Arboleda
Kiyoshige Garcés
Luis Daniel Benavides Navarro
Niels F. W. Voorneveld
Ales Pultr
Tomás Jakl
Alexandre Frias Faria
Carlos Alexandre Silva
Elisangela Martins de Sá
Sérgio Ricardo de Souza
François Laroussinie
Bingtian Xue
Samy Jaziri
Pawel Paczkowski
Daniela Cancila
Furio Honsell
Wenfeng Zhang
Wenjie Du
Yuxin Deng
Nicolas Markey
Dan R. Ghica
Nikos Tzevelekos
Gilles Barthe
John Hatcliff
Morten Heine Sørensen
Raul Andres Leal
Catherine A. Meadows
Dusko Pavlovic
Jinbo Yang
Junmiao Shi
Isabel Pita
Dino Di Cola
Maria Emilia Maietti
Michael B. Smyth
Hiroshi Watanabe
Koki Nishizawa
Osamu Takaki
Ichiro Hasuo
Kok Min Ng
Dariusz Biernacki
Piotr Polesiuk
Sergueï Lenglet
Harlem Mauricio Madrid Villadiego
João Paulo de C. M. Nogueira
Luciana Brugiolo Gonçalves
Agostino Dovier
Andrea Omicini
Maria Chiara Meo
Ulrike Lechner
Frank D. Valencia
Jesús Aranda
Adam Scriven
Hideki Tsuiki
Kei Terayama
Xiangnan Zhou
You Gao
Alexandre Matos Arruda
Daniel Fridlender
Leonardo Rodríguez
Miguel Pagano
Hui Li
Jesse D. Bingham
Alessandra Palmigiano
Nicolas Tabareau
Paul-André Melliès
Jacques Carette
William M. Farmer
Faris Abou-Saleh
Stephen D. Brookes
Renata Wasserman
Sandra Alves
Soichiro Fujii
Thomas Cottrell
Daniel Saad Nogueira Nunes
Brahim Nasraoui
Narjes Ben Rajeb
Riadh Robbana
Tayssir Touili
Alessandro Tiberi
Ivano Talamo
Pietro Cenciarelli
Antonio Bucciarelli
Daniel Ventura
Delia Kesner
Jos C. M. Baeten
P. J. A. van Tilburg
Pieter J. L. Cuijpers
David Sprunger
Federico Flaviani
Jens Chr. Godskesen
Ralph Kummetz
Joël Ouaknine
Guy McCusker
Jan Strejcek
Vojtech Rehák
Harsh Beohar
Sebastian Küpper
Christian E. Portugal-Zambrano
Jesús P. Mena-Chalco
Harald Fecher
Martin Steffen
Andrea Corradini 0001
Alejandro Escobar
Julián Moreno Schneider
Sebastián Múnera
Maurice Tchoupé Tchendji
Éric Badouel
Salvador Lucas
Fabiano de S. Oliveira
Jayme Luiz Szwarcfiter
Lívia Salgado Medeiros
Yoram Hirshfeld
Antonio Vitale
Cosimo Laneve
Stefano Del Vecchio
Virgile Mogbil
Felice Balarin
Paula M. Veloso
Erika M. M. Coelho
Humberto J. Longo
Les R. Foulds
Márcia R. Cappelle
Reiko Heckel
Ewen Denney
Konstantinos Tourlas
Lawrence S. Moss
Olaf Burkart
Everton Alvares Cherman
Jimena Torres Tomás
Maria Carolina Monard
Newton Spolaôr
Vaughan R. Pratt
Jonas Frey
Lehilton L. C. Pedrosa
Mauro R. C. da Silva
Rafael C. S. Schouery
Marco Kick
Matthew Spinks
Umberto Rivieccio
Toby Wilkinson
Alberto Verdejo
Matteo Cimini
Michel A. Reniers
Mohammad Reza Mousavi 0001
Jing Zhao
Daniel R. Licata
Robert Harper 0001
Mariana Matulovic
Walter Carnielli
Joseph A. Goguen
Kai Lin
Bram Westerbaan
Jaime Arias
Michell Guzmán
Christos Triantafyllis
Patrick Cousot
Alan De Renzis
Alejandro Zunino
Andres Flores
Martin Garriga
Malgorzata Biernacka
Clément Jacq
Pablo Arrighi
Eric Mjolsness
Bob Flagg
Patrick Viry
Aquinas Hobor
Robert Dockins
Xiaodong Jia
Esperanza Marcos
Feliu Trias
Marcos López Sanz
Valeria de Castro
Dennis Dams
Rob Gerth
Jan Rothe
Lingyun Yang
Régis Cridlig
Fairouz Kamareddine
Vincent Rahli
Matteo Coccia
Ralph Kopperman
Bruno Buchberger
Marija Kulas
Alexandre A. Cezar
Ana Silva 0001
Camila Araujo
Júlio Araújo
Gavin Lowe
João José Neto
Paulo Roberto Massa Cereda
Renata Luiza Stange
Elisa Quintarelli
Christoph Schubert
Erik Poll
Marc Vaucher
Natarajan Shankar
Lígia Ferreira
Salvador Abreu
Peter Sestoft
Erik P. de Vink
Falk Bartels
Juan Anderson
Amy P. Felty
Mohamed Yousri Mahmoud
Boris Perez
Darío Correal
Yoshihiko Kakutani
Yuichi Nishiwaki
Yuito Murase
Ulrich Berger 0001
Anders Møller
Daniel Calegari
Nora Szasz
Lutz Schröder
Hugo Moeneclaey
Viktor Vafeiadis
John Hannan
Lankun Guo
Mengqiao Huang
Uwe Wolter
Marcelo P. Fiore
Georgiana Caltais
Marcello M. Bonsangue
Andrew D. Gordon 0001
Dina Q. Goldin
Peter Wegner
Liron Cohen 0001
Ross Tate
Sofia Abreu Faro
Claudia N. Sánchez
Edwige E. Pissaloux
Ramiro Velázquez
Anatol Slissenko
Danièle Beauquier
Andrew Phillips
Belo Horizonte
Marino Miculan
Adrián Riesco 0001
Rafael Caballero 0001
Emmanuel Haucourt
Eric Goubault
Sanjeevi Krishnan
Étienne Lozes
Horacio Vico
Alesom Zorzi
Celina M. H. de Figueiredo
Raphael Machado
Uéverton S. Souza
Germain Faure
Horatiu Cirstea
Edmund Robinson
Pierre Clairambault
Frank Nebel
Roy L. Crole
Francesco Gavazzo
Ugo Dal Lago
Susan Older
Mathys Rennela
Jonathan Hayman
Simon Castellan
Germán Bianchini
María Laura Tardivo
Miguel Méndez-Garabetti
Paola Caymes-Scutari
C. A. Weffort-Santos
C. N. Campos
Alexander Knapp
Martin Wirsing
Carlos Castro
Cristiano Calcagno
Hongseok Yang
Richard Bornat
Alan Bundy
Patrick F. Smith
Roy L. McCasland
Frédéric Dabrowski
Felix Kossak
Koji Nakagawa
Carlos Manuel Toledo
Mariel Alejandra Ale
María Rosa Galli
Omar Chiotti
Joachim Parrow
Sébastien Briais
Uwe Nestmann
Bruno Pasqualotto Cavalar
Gabriel Ferreira Barros
Olaf Parczyk
Daniel Damian
Egbert Fohry
Nathalie Bertrand 0001
Fei Liang
Giuseppe Greco 0001
Krishna Manoorkar
Tobias Heindel
Lucy Saunders-Evans
David Safránek
Juraj Kolcák
Loïc Paulevé
Stefan Haar
Pawel Waszkiewicz
Alessandra Di Pierro
Chris Hankin
Herbert Wiklicky
Alexis Saurin
Kazushige Terui
Michele Basaldella
Ying-ming Liu
Gabriel Ciobanu
Oana Agrigoroaiei
Benjamin Wack
Luigi Liquori
Marcelo Finger
Edgar Sarmiento
Eduardo Almentero
Guina Sotomayor Alzamora
Julio Cesar Sampaio do Prado Leite
Christel Baier
Apiwat Chantawibul
Daniele Nantes-Sobrinho
Washington de Carvalho Segundo
Fionn Mc Inerney
Julien Bensmail
Nicolas Nisse
David J. Pym
Matthew Collinson
Ian A. Mason
R. Cano
Hanifa Boucheneb
Kamel Barkaoui
Dominique Larchey-Wendling
Wei Yao
Alvaro Tasistro
Ana Bove
Ernesto Copello
Iliano Cervesato
Mark-Oliver Stehr
Guillermo Palma
Bud Mishra
Venkatesh Mysore
Kenta Cho 0002
Toshiki Kataoka
Herman Geuvers
Niels van der Weide
Andrew Lawrence
Monika Seisenberger
Jürgen Koslowski
Gloria Mercedes Díaz
Juan Sebastián Vargas Molano
Wilson J. Sarmiento
Moez A. AbdelGawad
Arild Waaler
Bjarne Holen
Einar Broch Johnsen
Luiz Carlos Pereira
Vaston G. Costa
Wagner Sanz
Jean-Simon Lemay
Nicolas Gagné
Emmanuelle Encrenaz
Benjamin Lucien Kaminski
Federico Olmedo
Friedrich Gretz
Joost-Pieter Katoen
Nils Jansen 0001
Andrew M. Pitts
Jasper Derikx
Justus Matthiesen
Davide Sangiorgi
Nicola Mezzetti
Zhenzhu Yuan
Shekhar Pradhan
Fredrik Dahlqvist
Ilias Garnier
Adam Wright
Azalea Raad
Mark J. Wheelhouse
Jitka Stríbrná
Cândida Nunes da Silva
Márcia R. Cerioli
Orlando Lee
Mónica Braga
Anastacio Arce
Esteban Vargas
Eustaquio Martínez
Fanny González
Luís Fariña
Robin Kaarsgaard
Bruno Pinaud
Rom Langerak
Joe B. Wells
John Pirie
Jamie Vicary
Mike Stay
Andres Rojas Paredes
Jean-Pierre Jouannaud
Parosh Aziz Abdulla
Pavel Krcál
Wang Yi 0001
Luca Paolini
Mauro Piccolo
Simona Ronchi Della Rocca
Tyler Barker
Chloe Rispal
Alejandro Gadea
Emmanuel Gunther
Arnaud Sangnier
Florent Bouchy
Bernhard K. Aichernig
Luís Soares Barbosa
Sun Meng
Zhang Naixiao
Harald Woracek
Chris Heunen
Martti Karvonen
Jorge Petrucio Viana
Renata P. de Freitas
Guilherme Horta Travassos
Paulo Sérgio Medeiros dos Santos
Sabine Broda
André Takeshi Endo
Guilherme de Cleva Farto
José Luis Soncco-Álvarez
Celso M. da Silva Jr.
Ezequiel Dratman
Luciano N. Grippo
Martín D. Safe
Renata R. Del-Vecchio
Dorel Lucanu
Martin Große-Rhode
Lew Gordeev
Marcela Quispe-Cruz
Bow-Yaw Wang
Guillermo Calderón
Kokichi Futatsugi
Gerardo Rubino
Leslie Murray
Carsten Führmann
Guido Sanguinetti
Michael Katelman
Ralph Matthes
Esfandiar Haghverdi
Philip J. Scott
Christie Bolton
Antoine Reilles
Matthias Schröder 0001
Traian-Florin Serbanuta
Ernst-Erich Doberkat
Johann Deneux
Pritha Mahata
Prasanna Thati
Benjamín Barán
Marcos Villagra
Andrew W. Appel
Isar Stubbe
Rasmus Lerchedahl Petersen
Lingjuan Yao
Jean-Baptiste Jeannin
Bjørn Haagensen
Iain Phillips 0001
Sergio Maffeis
Erica Melis
Volker Sorge
Jan A. Bergstra
Gianluigi Zavattaro
Masahito Hasegawa
Kevin Zúñiga Gárate
Maria Egger
Matthias Ley
Cristian Rusu
Ernesto Cuadros-Vargas
Christian Nolasco
Juan Andrés Montoya
Detlef Plump
Jan Willem Klop
Zena M. Ariola
Chung-Kil Hur
Luis Gustavo da Soledade Gonzaga
Sheila Morais de Almeida
Vincenzo Ciancia
Carsten Varming
Alexandre Madeira
Manuel A. Martins 0001
Alexandre Buisse
Davide Grohmann
Dale Miller 0001
Gerald Lüttgen
Rance Cleaveland
E. Kleiner
Suzana Andova
Tim A. C. Willemse
Benjamin C. Pierce
Dana S. Scott
Farley Soares Oliveira
Hidefumi Hiraishi
Hiroshi Imai
Thomas Colcombet
Simone Tini
F. Javier Thayer
Joshua D. Guttman
Shaddin F. Doghmi
Thomas Ehrhard
Alessandro Armando
Alessandro Coglio
Huodi Chen
Shuhua Su
Uday S. Reddy
Petko Valtchev
Robert Godin
Cláudia Nalon
Brian F. Redmond
David Sabel
Jan Schwinghammer
Joachim Niehren
Christoph Lüth
Federico De Marchi
Joseph Vanderwaart
Kim B. Bruce
Di Wang
Jan Hoffmann 0002
Thomas W. Reps
Liang-Ting Chen
Franck Pommereau
Hanna Klaudel
Raymond R. Devillers
Brigitte Rozoy
H. C. M. Kleijn
Rémi Morin
Chunhui Liu
Javier Esparza
Samuel R. Buss
Gérard Boudol
Daniel Schwencke
Nadia Busi
Roberto Gorrieri
Ranko Lazic 0001
Ian Stark
Tom Chothia
P. S. Thiagarajan
Barry Jay
Wolfgang Windsteiger
Roberto Montagna
Azadeh Farzan
Thiago Alves Rocha
Robin Milner
Aurélie Hurault
Marc Pantel
Claudio Hermida
