key;title;author;booktitle;year;abstract;keywords;organization;type;reviewers;review;decision
journals/procedia/GuoWSC12;Cluster analysis on city real estate market of China: based on a new integrated method for time series clustering.;Gushan Shi|Jue Wang 0015|Kun Guo|Xuehui Cao;ICCS;2012;Est sed aliquam est dolorem dolore.;NLP|Data Engineering|Data Structures;Agricultural Bank of China;company;Roi Orzach|Zhenyu Cui|Parham Aarabi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BazilevsMSMT12;Toward a Computational Steering Framework for Large-Scale Composite Structures Based on Continually and Dynamically Injected Sensor Data.;Alison L. Marsden|Amit Majumdar|F. Lanza di Scalea|Mahidhar Tatineni|Yuri Bazilevs;ICCS;2012;Est sed aliquam est dolorem dolore.;Machine Learning;Teikyo University;university;Lisa A. Bero|Hasrizul Hashim|Justo Aznar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Uyaver12;Monte Carlo Simulation to Investigate the Cascade Transition of a Permuted Polyelectrolyte Chain.;Sahin Uyaver;ICCS;2012;Est sed aliquam est dolorem dolore.;Data Structures;Portland State University;university;Lingfeng Niu|Peter Troyan|T. J. Morodi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/CuratelliM12;Design Criteria for Educational Tools to Overcome Mathematics Learning Difficulties.;Chiara Martinengo|Francesco Curatelli;VS-GAMES;2012;Est sed aliquam est dolorem dolore.;Data Structures|Data Mining;Northeastern University (China);university;Jinwoo Shin|Eiji Takimoto|Margit Sutrop;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/HossainMHB12;Fault Tolerant Wireless Sensor Networks using Adaptive Partitioning.;Allaa R. Hilal|Otman A. Basir|Rohan Monteiro|Shahadat Hossain;ANT/MobiWIS;2012;Est sed aliquam est dolorem dolore.;Computer Networks;Lund University;university;Inmaculada de Melo-Martín|Weishu Liu 0001|Martin Schreiber 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/SalernoSU11;Exploration of Attacks on Current Generation Smartphones.;Ameya Sanzgiri|Shambhu J. Upadhyaya|Steven Salerno;ANT/MobiWIS;2011;Est sed aliquam est dolorem dolore.;NLP;Jaume I University;university;Matthias Leese|Sebastián Bustamante|P. Mahenc;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/ToczekHM10;Effficient stackless ray traversal for bounding sphere hierarchies with CUDA.;Dominique Houzet|Stéphane Mancini|Tomasz Toczek;ICCS;2010;Est sed aliquam est dolorem dolore.;NLP;City College of New York;university;Chong Wang|Paola Caymes-Scutari|Konrad Podczeck;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/TohidiJ11;The main requirements to implement an electronic city.;Hamid Tohidi|Mohammad Mehdi Jabbari;WCIT;2011;Est sed aliquam est dolorem dolore.;Data Mining;University of the Algarve;university;Shahrul Azman Mohd. Noah|Lyes Khelladi|Crtomir Gorup;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Marzban11;Improvement of reading comprehension through computer-assisted language learning in Iranian intermediate EFL students.;Amir Marzban;WCIT;2011;Est sed aliquam est dolorem dolore.;NLP;University of Maryland, College Park;university;Teresa Rinaldi|Vinicius Carrasco|Parisa Yousefzadeh Fard;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Serpen12;Preface to Part V Distributed Networks.;Gürsel Serpen;Complex Adaptive Systems;2012;Est sed aliquam est dolorem dolore.;Big Data|Data Mining;Texas Tech University (TTU);university;Paolo Ballarini|Renato Neves|Yan Chen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KuchenE12;Data Parallel Skeletons in Java.;Herbert Kuchen|Steffen Ernsting;ICCS;2012;Est sed aliquam est dolorem dolore.;Semantic Data;Southern Company;company;Hugo M. Verhelst|Pedro N. Figueiredo|C.-H. Ho;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Maire10;A sub-cell force-based framework to derive cell-centered Lagrangian schemes on two-dimensional polygonal grids.;Pierre-Henri Maire;ICCS;2010;Est sed aliquam est dolorem dolore.;Semantic Data;Novo Nordisk;company;Michael J. Frisch|Ishwarya Iyengar|K. Shakibi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/ObimboZW11;Multiple SOFMs Working Cooperatively In a Vote-based Ranking System For Network Intrusion Detection.;Charlie Obimbo|Haochen Zhou|Ryan Wilson;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;NLP;Pierre-and-Marie-Curie University;university;Tayfun Sönmez|Anjali Truitt|Bert van Wee;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BahiGP12;Predicting the Evolution of two Genes in the Yeast Saccharomyces Cerevisiae.;Antoine Perasso|Christophe Guyeux|Jacques M. Bahi;CSBio;2012;Est sed aliquam est dolorem dolore.;NLP|Big Data;Ludwig Maximilian University of Munich;university;Elisa de Cássia Silva Rodrigues|John Alexander Posada|Renata Hax Sander Reiser;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Leung12;Sequential static-Dynamic Hedging for Long-term Derivatives.;Tim Leung;ICCS;2012;Est sed aliquam est dolorem dolore.;Computer Networks;Istanbul Technical University;university;Xuwei Pan|Samantha Clarke|Andy G. Lozowski;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/ThaiprasitCWM12;Conceptual Design of RNA-RNA Interaction Based Devices.;Asawin Meechai|Dujduan Waraho|Jittrawan Thaiprasit|Supapon Cheevadhanarak;CSBio;2012;Est sed aliquam est dolorem dolore.;Computer Networks|Relational Databases;Hong Kong University of Science and Technology;university;Mark A. Girolami|Christian E. Portugal-Zambrano|Naveen Khanna;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/SolarSL12;Proximity Load Balancing for Distributed Cluster-based Individual-oriented Fish School Simulations.;Emilio Luque|Remo Suppi|Roberto Solar;ICCS;2012;Est sed aliquam est dolorem dolore.;NLP;Shenzhen University;university;Mirjam Sophia Glessmer|J. Otto Kroesen|Cláudio Fernando Resin Geyer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BeitollahiD12;Tackling Application-layer DDoS Attacks.;Geert Deconinck|Hakem Beitollahi;ANT/MobiWIS;2012;Est sed aliquam est dolorem dolore.;Data Mining;University of Utah;university;Maribel Fernández|Adam Hill|Mahdi G. Nia;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/RestrepoBG12;The Challenge of Teaching to Create Accessible Learning Objects to Higher Education Lecturers.;Carlos Benavídez|Emmanuelle Gutiérrez y Restrepo|Henry Gutiérrez;DSAI;2012;Est sed aliquam est dolorem dolore.;Semantic Data|Computer Networks;Princeton University;university;J. Andrés Montoya|Begoña Etxebarria|Margi Joshi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Djaouti0HJKTCL12;Towards A Serious Application for Telescope Maintenance.;Damien Djaouti|Emmanuel Dubois 0001|Francis Lacassagne|Jean-Pierre Jessel|Marwene Kechiche|Minica Houry-Panchetti|Patrice Torguet|Rémi Cabanac;VS-GAMES;2012;Est sed aliquam est dolorem dolore.;Machine Learning|Data Mining|High Performance Computing;International School for Advanced Studies;university;Hassan Al-Thani|Chunhua Tian|Cezary Bolek;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BrennerKK12;Executing PRAM Programs on GPUs.;Christoph W. Kessler|Jurgen Brenner|Jörg Keller 0001;ICCS;2012;Est sed aliquam est dolorem dolore.;Computer Networks|Semantic Data;Newmont Mining;company;Wei-Tau Lee|Lei Fan|Steven Upholzer;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/YanLF11;Effects of divalent cations on cell adhesion between human neutrophil and endothelial ligand VCAM-1: a lattice Boltzmann analysis.;Bingmei Fu|Weiwei Yan|Yang Liu 0032;ICCS;2011;Est sed aliquam est dolorem dolore.;High Performance Computing|Computer Networks;University of Maine, Orono;university;Bertan Turhan|Frederica Darema|Marcus J. Grote;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/MadeyBPLMW12;Applying DDDAS Principles to Command, Control and Mission Planning for UAV Swarms.;Christian Poellabauer|Gregory R. Madey|Hongsheng Lu|M. Brian Blake|Ryan McCune|Yi Wei 0002;ICCS;2012;Est sed aliquam est dolorem dolore.;Big Data;Colgate-Palmolive;company;A. Mladenowa|Tai-Wei Hu|Debasis Mishra;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/LiSPXZC12;Fourth order transport model on Yin-Yang grid by multi-moment constrained finite volume scheme.;Chungang Chen|Feng Xiao 0001|Xindong Peng|Xingliang Li|Xueshun Shen|Zhaorong Zhuang;ICCS;2012;Est sed aliquam est dolorem dolore.;Data Structures|Data Mining;CSL;company;Aleksandrs Slivkins|Christopher Ré|Raymond C. W. Sung;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Chena12;Development of a Database Course for Bioinformatics.;Zhengxin Chena;ICCS;2012;Est sed aliquam est dolorem dolore.;Data Engineering;Federico Santa MarÃ­a Technical University;university;Ruben Juarez|Jalel Ben-Othman|Rahul Uday Nayak;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/LipnikovS10;A mimetic tensor artificial viscosity method for arbitrary polyhedral meshes.;Konstantin Lipnikov|Mikhail J. Shashkov;ICCS;2010;Est sed aliquam est dolorem dolore.;Data Structures|Big Data;Yamaguchi University;university;Tobias Broer|Eda Gözde Girgin|Irwin King;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/GepnerR10;Investigation of parallel efficiency of an adaptive flow solver.;Jacek Rokicki|Stanislaw Gepner;ICCS;2010;Est sed aliquam est dolorem dolore.;Big Data|Machine Learning|Semantic Data;Goethe University Frankfurt;university;Slobodan Vucetic|Eloy Portillo|Josip Azman;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Merrikh-BayatS11;Memristor-based circuits for performing basic arithmetic operations.;Farnood Merrikh-Bayat|Saeed Bagheri Shouraki;WCIT;2011;Est sed aliquam est dolorem dolore.;Big Data|Machine Learning;Kanazawa University;university;Luciana Brugiolo Gonçalves|Neil Ghani|Junsong Yuan;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/DoskeyMS13;Positive Deviance Approach for Identifying Next-Generation System Engineering Best Practices.;Shahram Sarkani|Steven Doskey|Thomas A. Mazzuchi;CSER;2013;Est sed aliquam est dolorem dolore.;NLP|Data Mining|High Performance Computing;Freddie Mac;company;F. Salanié|Onur Özgür|Torgeir Welo;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Merrikh-BayatS11a;Programming of memristor crossbars by using genetic algorithm.;Farnood Merrikh-Bayat|Saeed Bagheri Shouraki;WCIT;2011;Est sed aliquam est dolorem dolore.;Data Mining|Data Engineering;University of Zurich;university;Vivek Menon|Alain Chateauneuf|Péter Eso;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KahramanCK11;Investigation of university students' attitude toward the use of powerpoint according to some variables.;Ceren Çevik|Hülya Kodan|Sakip Kahraman;WCIT;2011;Est sed aliquam est dolorem dolore.;Semantic Data|High Performance Computing;Northeast Normal University;university;Victoria Saigle|Tim Oates|Olivier Gossner;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Kanzaki11;Application of graphics processing unit (GPU) to software in elementary particle/high energy physics field.;J. Kanzaki;ICCS;2011;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases|Data Mining;University of Parma;university;Luis Carlos de Sousa Menezes|Huy T. Vo|Clément Houtmann;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/MaadaniMS11;Delay-Reliability Trade-off in MIMO-Enabled IEEE 802.11-Based Wireless Sensor and Actuator Networks.;H. Safdarkhani|Mohsen Maadani|Seyed Ahmad Motamedi;ANT/MobiWIS;2011;Est sed aliquam est dolorem dolore.;Big Data;Vanderbilt University;university;Grigory Rechistov|Azadeh Farzan|Yun Le;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KryvinskaS11;A Scenario-based Framework for Perceiving Crossbreed Service Interactions.;Christine Strauss|Natalia Kryvinska;ANT/MobiWIS;2011;Est sed aliquam est dolorem dolore.;Computer Networks|Machine Learning;University of Georgia;university;Siwan Anderson|Ilja L. Bongers|Hector M. Ramos;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/CannataroGV10;Using ontologies for querying and analysing protein-protein interaction data.;Mario Cannataro|Pierangelo Veltri|Pietro Hiram Guzzi;ICCS;2010;Est sed aliquam est dolorem dolore.;Data Engineering|Data Structures;University of Chemistry and Technology, Prague;university;Celia Herrera-Rincon|Mehmet Ekmekci|Victor H. Aguiar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BernabeuaK11;Scalable parallel preconditioners for an open source cardiac electrophysiology simulation package.;David Kay|Miguel O. Bernabeu;ICCS;2011;Est sed aliquam est dolorem dolore.;Data Engineering|Semantic Data;Iran University of Science and Technology;university;Inez de Beaufort|Qichao Que|Nathan J. Bowler;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/SinnottS11;Towards a Virtual Research Environment for International Adrenal Cancer Research.;Anthony Stell|Richard O. Sinnott;ICCS;2011;Est sed aliquam est dolorem dolore.;Big Data;National University of La Plata;university;Franz Kneißl|Janusz A. Holyst|Barbro Björkman;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BuchelerS11;Understanding Science 2.0: Crowdsourcing and Open Innovation in the Scientific Method.;Jan Henrik Sieg|Thierry Bücheler;FET;2011;Est sed aliquam est dolorem dolore.;Semantic Data|NLP|Data Mining;University of Iowa;university;Linda S. Kuebler|Yu-Chen Fan|Brian E. White;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Yilmaz11;Control and Optimization of a Sensor Manufacturing Process.;Muhittin Yilmaz;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;Data Engineering|Relational Databases;Victoria University of Wellington;university;Faezeh Bahmani|Emre Akarsu|Mohammad A. Taha;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/YuXYS10;The strategic asset allocation optimization model of sovereign wealth funds based on maximum CRRA utility & minimum VAR.;Bin Xu|Haizhen Yang|Jing Yu|Yong Shi;ICCS;2010;Est sed aliquam est dolorem dolore.;High Performance Computing|Relational Databases|NLP;Canadian Imperial Bank;company;Kai Puolamäki|Antonio Torralba 0001|Alwyn Vwen Yen Lee;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/DlodloT11;Taking advantage of the Mobicents platform in the design of the SINGA environment.;J. P. Tolmay|Nomusa Dlodlo;WCIT;2011;Est sed aliquam est dolorem dolore.;Relational Databases|Machine Learning|Data Engineering;University of Surrey;university;Eugenijus Gefenas|Sushil Chauhan|Nizar Bouguila;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/TokmanL10;Efficient design of exponential-Krylov integrators for large scale computing.;John Loffeld|Mayya Tokman;ICCS;2010;Est sed aliquam est dolorem dolore.;Data Mining|Semantic Data|Big Data;Honda Motor;company;Radek Zdenek|Olivia Walling|Ku-Chun Chou;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/AhmadDA11;Synergy network based inference for breast cancer metastasis.;Farzana Kabir Ahmad|Mohd. Syazwan Abdullah|Safaai Deris;WCIT;2011;Est sed aliquam est dolorem dolore.;Data Structures|Computer Networks|Data Engineering;Second Military Medical University;university;Safar Bin Bkhit AlMudara|Kidane Yemane|Chu Kiong Loo;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/YearworthEDBT13;Integrating Problem Solving and Research Methods Teaching for Systems Practice in Engineering.;Adrian Terry|Gordon Edwards|John Davis|Katharina Burger|Mike Yearworth;CSER;2013;Est sed aliquam est dolorem dolore.;Big Data|High Performance Computing|Data Mining;North Dakota State University - Main Campus;university;Ewald Lang|Tie-Yan Liu|Nikolai Brandt;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/YangD011;Cognition Evolutionary Computation for System-of-systems Architecture Development.;Cihan H. Dagli|Feng Yang|Weiping Wang 0002;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;Relational Databases;Graduate University for Advanced Studies;university;Teemu Roos|Francisca Andrea Macedo França|Blake J. Bent;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KlempaSM12;Optimization and Refinement of XML Schema Inference Approaches.;Irena Mlýnková|Jakub Stárka|Michal Klempa;ANT/MobiWIS;2012;Est sed aliquam est dolorem dolore.;Data Mining|High Performance Computing|Machine Learning;University of Groningen;university;Go Iwai|Martin Garriga|Jasem M. Alostath;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/ZaldivarB10;Meta-Mender: A meta-rule based recommendation system for educational applications.;Daniel Burgos|Vicente Arturo Romero Zaldivar;RecSysTEL@RecSys;2010;Est sed aliquam est dolorem dolore.;NLP;Masaryk University;university;C. Croquet|M.-H. Tsai|Kohei Nakajima;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/DuCheneSKWD11;A Framework for Running the ADCIRC Discontinuous Galerkin Storm Surge Model on a GPU.;Anna Maria Spagnuolo|Clint Dawson 0001|Ethan J. Kubatko|Joannes J. Westerink|Michael DuChene;ICCS;2011;Est sed aliquam est dolorem dolore.;Machine Learning;University of Zagreb;university;Karin Schoefegger|Dirk Krueger|Matija Pretnar;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/MeiVXZS10;Quantitatively evaluating interventions in the influenza A (H1N1) epidemic on China campus grounded on individual-based simulations.;David A. van de Vijver|Lei Xuan|Peter M. A. Sloot|Shan Mei|Yifan Zhu;ICCS;2010;Est sed aliquam est dolorem dolore.;NLP|Big Data;Istanbul University;university;Ulrich Fahrenberg|Mans Hulden|Mathieu Sinn;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/LezcanoBS12;Contrasting Knowledge Organization Systems for the Description of Research Products: the Case of Overlapping in the Agricultural Domain.;Elena García Barriocanal|Leonardo Lezcano|Miguel-Ángel Sicilia;ICCS;2012;Est sed aliquam est dolorem dolore.;Relational Databases;University of Verona;university;Tomas Rodriguez-Barraquer|Daniel Franco 0002|David J. Kriegman;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BatlloriLLS11;Evolving spiking neural networks for robot control.;Craig B. Laramee|J. David Schaffer|R. Batllori|Walker H. Land Jr.;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;Machine Learning|NLP|High Performance Computing;Niigata University;university;Diary R. Sulaiman|Olivier F. Morand|Jason Borenstein;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/TsviliukZM10;Complex systems in finance: Monte Carlo evaluation of first passage time density functions.;Di Zhang|Olena Tsviliuk|Roderick V. N. Melnik;ICCS;2010;Est sed aliquam est dolorem dolore.;Relational Databases;Polytechnic University of Catalonia;university;Knut H. Sørensen|Maria Shoaib|Elena Diller;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/SindiyLDD13;Introduction to Information Visualization (InfoVis) Techniques for Model-Based Systems Engineering.;Frank Dekens|Krystof Litomisky|Oleg Sindiy|Scott Davidoff;CSER;2013;Est sed aliquam est dolorem dolore.;High Performance Computing|Machine Learning;Nanjing University;university;Rui Fukui|Qingwen Li|Jochen Nelles;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Endriss11;Computational Social Choice: Prospects and Challenges.;Ulle Endriss;FET;2011;Est sed aliquam est dolorem dolore.;High Performance Computing;Medical University of Vienna;university;Eric R. Young|Dominic Hillenbrand|Kris Dierickx;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/NaguibL10;(Position Paper) Applying software engineering methods and tools to CSE research projects.;Hoda Naguib|Yang Li 0027;ICCS;2010;Est sed aliquam est dolorem dolore.;Semantic Data;University of South Florida - Tampa;university;Edward J. Hackett|Shannon Dosemagen|Samuel G. Da Silva;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Gharooni-fardMDM10;Scheduling of scientific workflows using a chaos-genetic algorithm.;Anahita Morvaridi|Fahime Moein-darbari|Golnar Gharooni-fard|Hossein Deldari;ICCS;2010;Est sed aliquam est dolorem dolore.;Relational Databases;Chonbuk National University;university;Eric Torunski|Mario Rodríguez-Artalejo|Jacob S. Sagi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/LinKO11;Agent-based Modeling of Dynamic Pricing Scenarios to Optimize Multiple-generation Product Lines with Cannibalization.;Chun-Yu Lin|Gül E. Okudan|Nil H. Kilicay-Ergin;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;Computer Networks;Inje University;university;Richard S. Frackowiak|Emel Aközer|Hesham H. Ali;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/RossiLVPVRCRKAKKI11;Flexible Assistive Robots Through AFO-Based Intention Detection.;Alessandro Persichetti|Auke Jan Ijspeert|Bram Koopman|Edwin H. F. van Asseldonk|Fabrizio Vecchi|Herman van der Kooij|Jesse van den Kieboom|Maria Chiara Carrozza|Nicola Vitiello|Renaud Ronsse|Stefano Marco Maria De Rossi|Stefano Roccella|Tommaso Lenzi;FET;2011;Est sed aliquam est dolorem dolore.;Data Engineering;University College London;university;Jinhong K. Guo|Neelke Doorn|Gerald Walther;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/DilmuradKMS11;"Open source software usage on municipalities; a case study: Çankaya municipality.";Erzurumlu Kerem|Murat Çitak|Solmaz B. Sami|Vahabdjanov Dilmurad;WCIT;2011;Est sed aliquam est dolorem dolore.;Data Mining|Machine Learning;UmeÃ¥ University;university;Paul D. Hovland|Manuel Hasert|Cécilia Englander;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Alvarez-AramberriPPCDC12;On Round-off Error for Adaptive Finite Element Methods.;David Pardo|Julen Álvarez-Aramberri|Lisandro Dalcín|Maciej Paszynski|Nathan O. Collier|Victor M. Calo;ICCS;2012;Est sed aliquam est dolorem dolore.;NLP|High Performance Computing|Data Engineering;University of Notre Dame;university;William J. Phillips|Lalit Kant|Moshe Levy;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/ChatterjeeR12;Similarity Graph Neighborhoods for Enhanced Supervised Classification.;Anirban Chatterjee|Padma Raghavan;ICCS;2012;Est sed aliquam est dolorem dolore.;Data Structures|Semantic Data;Chulalongkorn University;university;Fukuko Yuasa|Peter Zinterhof|Arieh Gavious;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/YousefipourJ11;Using neural search approach for resource discovery in P2P networks.;Hesam Yousefipour|Zahra Jafari;WCIT;2011;Est sed aliquam est dolorem dolore.;Data Engineering;University of Nebraska Omaha;university;Olivier Pietquin|Richard Socher|Erika Spuchlakova;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/HamidiKG11;Comparison of the training effects of interactive multimedia (CDs) and non-interactive media (films) on increasing learning speed, accuracy and memorization in biological science course.;Farhad Ghorbandordinejad|Farideh Hamidi|Zahra Mitra Kharamideh;WCIT;2011;Est sed aliquam est dolorem dolore.;Big Data|Data Mining|Data Structures;Tottori University;university;F. Al-Qaessi|Guy Pujolle|Shuchi Chawla 0001;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/PoreddyC11;Arguing Security of Generic Avionic Mission Control Computer System (MCC) using Assurance Cases.;Bhanuchander Reddy Poreddy|Steven M. Corns;Complex Adaptive Systems;2011;Est sed aliquam est dolorem dolore.;Machine Learning|Relational Databases;Sapienza University of Rome;university;Florin O. Bilbiie|Charles E. Harris|Annie Liang;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/LucaELA11;A Web API Framework for Developing Grid Portals.;Daniele Lezzi|Giovanni Aloisio|Italo Epicoco|Valerio De Luca;ICCS;2011;Est sed aliquam est dolorem dolore.;Semantic Data|Computer Networks|Relational Databases;Bank of China;company;Anna Sjögren|Ivica Mitrovic|Mark R. Geier;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KashiyamaHSN11;I/O-Performance Prediction Method for Mission-critical Grid-batch Processing.;Ken Naono|Tomohiro Hanai|Toshihiko Kashiyama|Yoshio Suzuki;ICCS;2011;Est sed aliquam est dolorem dolore.;Semantic Data|Data Mining|Machine Learning;Grenoble Institute of Technology;university;Robert Sisneros|Bodhisattva Sen|Giuseppe Conti;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/BenhammadaC10;A semi-formal specification for a generic model of artificial stock markets.;Sadek Benhammada|Salim Chikhi;ICCS;2010;Est sed aliquam est dolorem dolore.;Computer Networks|Big Data|High Performance Computing;University of Graz;university;Jacco J. J. Thijssen|P. S. Thiagarajan|Rosie Jones;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Sulaiman11;Microprocessors thermal challenges for portable and embedded systems using thermal throttling technique.;Diary R. Sulaiman;WCIT;2011;Est sed aliquam est dolorem dolore.;Relational Databases;Kyoto Institute of Technology;university;Murdoch James Gabbay|Ira Bennett|Andrzej Pastusiak;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/PurgasonH12;Security Through Behavioral Biometrics and Artificial Intelligence.;Benjamin Purgason|David L. Hibler;Complex Adaptive Systems;2012;Est sed aliquam est dolorem dolore.;Big Data|NLP;University of Illinois at Chicago;university;Daria Sorokina|Philip Brey|S. V. N. Vishwanathan;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Snytnikov10;Supercomputer simulation of plasma electron heat conductivity decrease due to relativistic electron beam relaxation.;Aleksey Snytnikov;ICCS;2010;Est sed aliquam est dolorem dolore.;Semantic Data;Lancaster University;university;Ryad Benosman|Ratnesh P. Keshri|Hakem Beitollahi;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/GevorkyanBN10;Novel algorithm for simulation of 3D quantum reactive atom-diatom scattering.;Ashot S. Gevorkyan|Gabriel G. Balint-Kurti|Gunnar Nyman;ICCS;2010;Est sed aliquam est dolorem dolore.;Semantic Data;University of Silesia;university;Sun Meng|Giuseppe Azzaro|Shu-Hao Yu;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/Chen12;Multitouch Tabletop Technology for People with Autism Spectrum Disorder: A Review of the Literature.;Weiqin Chen;DSAI;2012;Est sed aliquam est dolorem dolore.;High Performance Computing|Relational Databases|Semantic Data;University of Waterloo;university;Ramón A. Feenstra|William Rouse|R. Durie;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/PerezA12a;Learning with your Friend's Data: Game Entity Social Mapping in Serious Games.;Asier Marzo Pérez|Oscar Ardaiz;VS-GAMES;2012;Est sed aliquam est dolorem dolore.;Computer Networks;University of Texas at Austin;university;Vikraman Choudhury|Kyle Teague|Yi Chen;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/KothariKGD12;Robust Indoor Localization on a Commercial Smart Phone.;Balajee Kannan|Evan D. Glasgwow|M. Bernardine Dias|Nisarg Kothari;ANT/MobiWIS;2012;Est sed aliquam est dolorem dolore.;NLP|Big Data|Data Structures;Paccar;company;Kim G. Larsen|Cyrille Hagneré|Marc Boullé;Sed porro dolor numquam eius consectetur ipsum.;accepted
journals/procedia/SiciarekW11;IODA - an Interactive Open Document Architecture.;Bogdan Wiszniewski|J. Siciarek;ICCS;2011;Est sed aliquam est dolorem dolore.;Data Mining|High Performance Computing;University of Cambridge;university;Fabien Allard|Kyle Buzby|Natarajan Shankar;Sed porro dolor numquam eius consectetur ipsum.;accepted
